1533808988,Tweet Elon,1
1533808838,i very very much doubt than an Audi S4 does 136mph at 3500rpm. That would be an insane overdrive gear. Maybe possible if it is an automatic but definetly not as a manual.,1
1533808663,"They don’t need to deliver cars anymore. Funding secured.

Okay, I‘ll see myself out.",1
1533808530,\[removed\],1
1533808390,"Those disadvantages are in no way disadvantages to Tesla though, they are disadvantages to individual shareholders who will have less access to shares.

I want to clarify since you went directly from competitive advantages for Tesla to comparing disadvantages for other people. I don't really see many disadvantages to Tesla themselves in this move.",1
1533808305,"&gt; What about buying more shares at those events? 

I believe with SpaceX shareholders (such as employees who earned equity) are selling back to SpaceX at the fixed price the valuation determined.

With Tesla they might use a more sophisticated scheme - we'll see the details once they announce it.

&gt; Are there any dividends or distributions of profits to shareholders? 

My guess is that by the time Tesla generates so much excess cash that they'd have to pay a dividend they might IPO to a public stock exchange again. Tesla becoming a trillion dollar company might be that point: that would be about $5,900/share.",1
1533808274,"&gt;  Assuming the deal goes through

It is interesting to speculate on this, I think it if comes to a vote it will almost certainly pass, even though some existing shareholders are squeezed out.

On the finances themselves board approval and regulatory approval, it is 50/50. I strongly suspect the money is from overseas and US regulators will sink the deal. If that happens we don't get to a vote.

Note: This is all just speculation, backed by zero evidence. :)",1
1533808262,"Hmm, I got my S at the end of 2017 and it says it's $5k for FSD for me.",1
1533808205,Investing in TSLA is an exercise in filtering signal from noise. ,1
1533808016,I bought mine at the end of 2017 (HW2.0) and it's $5k for me to upgrade.,1
1533810792,"Internet stranger, I pray you are correct because I’m shitting bricks!",1
1533810757,"That's actually what I was responding with... Here check this out, this is from 2015:. 
  
&gt; Contrafund, Fidelity’s largest actively managed fund with about $113 billion in assets, invested $43,239,334 in SpaceX. The other funds, and their SpaceX investments, are:

Fidelity OTC — $4,805,386

Fidelity Advisor New Insights — $11,251,375

Fidelity Blue Chip Growth — $7,535,076

Fidelity Growth Co. (closed to new investors) — $16,752,739",1
1533810733,"From all the research I’ve done reading forums. It appears that the changing of your delivery window is an automatic thing every time you update your order outside of the month you placed your original configuration in. 

So if you ordered in July it’ll say Sept-Oct but if you make a change in August it’ll automatically change you to Nov-Dec. 

But people don’t feel like that is a real change. It’s just a website glitch. Rest assured they still have your original order date and your car should arrive within the Sept-Nov time. ",1
1533810698,Learn from my error son...,1
1533810693,Imma take a wild guess here and suggest you have no idea what you're talking about.,1
1533810683,"I don't know the answer to your question, but I'm glad you tried this before I did.",1
1533810624,There's no correct white balance because there's no colour from space. It's open to the artists interpretation. I prefer going a little bluer because it makes it feel colder and more vast. Which it is,1
